description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes,service|type,code|1|description,code|2|description,clinical_domain,pricing|discounted,pricing|gross,description_clean
TRIHEPTANOIN 8.3 KCAL/ML ORAL LIQUID,RX-205665,CDM,25009999,HCPCS,250.0,RC,69794-0050-50,NDC,outpatient,500.0,ML,20718.75,15539.06,WELLPOINT [1015],WELLPOINT GIC TOTAL CHOICE INDEMNITY [101501],,,73.56,,15240.71,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.01000046382077898,,triheptanoin 83 kcalml oral liquid
CAP END 10MM NAIL FEMORAL RETROGRADE,SUP-665600,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,618.56,463.92,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE PPO MEDICARE REPLACEMENT [11000111],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0002985584814449775,,cap end 10mm nail femoral retrograde
PLATE CRANIOMAXILLOFACIAL 5X10X.7MM 4 HOLE MATRIXMIDFACE TITANIUM,SUP-308770,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,639.1,479.32,UNITED HEALTHCARE [1016],UNITED SCO ERICKSON MEDICARE REPLACEMENT [101630],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0003084694568804125,,plate craniomaxillofacial 5x10x7mm 4 hole matrixmidface titanium
G150210 Corvia Interatrial Shunt Iasd II System,PX-62400131,CDM,,,624.0,RC,,,outpatient,,,1.0,0.75,MEDICARE [2001],MEDICARE CLINICAL TRIAL RESTRICTED USE [200106],,,,,1.0,,,other,APC grouping requires price history; No contract line matched,CDM,Unknown,Unknown,Unknown,4.762416767676562e-07,,g150210 corvia interatrial shunt iasd ii system
SCREW CENTRE 1.2X5MM DRIVE MICRO EMERG TITANIUM ALLOCKINGY LEVEL ONE TI 6AL4V,SUP-514053,CDM,C1713,HCPCS,278.0,RC,,,outpatient,,,1112.13,834.1,WELLPOINT [1015],WELLPOINT GIC PLUS PPO [101506],,,74.45,,827.98,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.0005367951623988301,,screw centre 12x5mm drive micro emerg titanium allockingy level one ti 6al4v
HC Afo Ant Tibial Total Carbon Fiber Prefab Tier1,PX-27000342,CDM,L1932,HCPCS,274.0,RC,,,inpatient,,,1024.0,768.0,ELDER SERVICES [1037],ELDER SERVICE NEIGHBORHOOD PACE [103602],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.000494255196406476,,hc afo ant tibial total carbon fiber prefab tier1
COBICISTAT 150 MG TABLET,RX-179628,CDM,25009999,HCPCS,250.0,RC,61958-1401-01,NDC,inpatient,1.0,UN,38.94,29.2,HARVARD PILGRIM [120001],HARVARD PILGRIM UNITED CHOICE AND OPTIONS PPO [12000107],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.8785803438983624e-05,,cobicistat 150 mg tablet
Bwh Del/Dup Analysis Acgh,PX-31000830,CDM,81479,CPT,310.0,RC,,,outpatient,,,2518.0,1888.5,HARVARD PILGRIM [120001],HARVARD PILGRIM UNITED CHOICE AND OPTIONS PPO [12000107],,,52.9,,1332.02,134.8,134.8,percent of total billed charges,,CPT,Unknown,Unknown,Unknown,0.001215375194809393,,bwh deldup analysis acgh
RIM HELICAL 37X62MM MEDPOR RIGHT,SUP-121354,CDM,L8613,HCPCS,274.0,RC,,,inpatient,,,2647.86,1985.89,HARVARD PILGRIM [120001],HPHC QUALITY LIMITED NTWK HMO [12000101],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0012780524608910176,,rim helical 37x62mm medpor right
Antithrombin III Antigen,PX-30001072,CDM,85301,CPT,305.0,RC,,,inpatient,,,187.0,140.25,CIGNA [1006],CIGNA HMO MEDICARE REPLACEMENT [100614],,,,,,,,,,CPT,Unknown,Unknown,Unknown,9.025423344580554e-05,,antithrombin iii antigen
Mgh Spctrophotomtry Anal Nes,PX-30002174,CDM,84311,CPT,301.0,RC,,,inpatient,,,104.0,78.0,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA CONNECTORCARE [11000141],,,,,,,,,,CPT,Unknown,Unknown,Unknown,5.0192011312310135e-05,,mgh spctrophotomtry anal nes
If Cryptosporidium Antigen,PX-30001212,CDM,87272,CPT,306.0,RC,,,outpatient,,,194.0,145.5,HEALTH NEW ENGLAND [1034],HEALTH NEW ENGLAND MEDICARE HMO REPLACEMENT [103107],,11.98,,,11.98,11.74,85.93,fee schedule,,CPT,Unknown,Unknown,Unknown,9.363297507152202e-05,,cryptosporidium antigen
CATHETER PERIPHERAL CUTTING 7FR 8MM 20MM 90CM .018IN OTW BALLOON,SUP-91020,CDM,C1725,HCPCS,272.0,RC,,,inpatient,,,2462.25,1846.69,HARVARD PILGRIM [120001],HARVARD PILGRIM STRIDE MEDICARE REPLACEMENT [12000109],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0011884675400720207,,catheter peripheral cutting 7fr 8mm 20mm 90cm 018in otw balloon
DARBEPOETIN ALFA 100 MCG/0.5 ML IN POLYSORBATE INJECTION SYRINGE,RX-108044,CDM,J0881,HCPCS,636.0,RC,55513-0025-01,NDC,inpatient,0.13,ML,418.09,313.57,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS RI PPO INDEMNITY [11000127],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0002017977569827922,,darbepoetin alfa 100 mcg05 ml polysorbate injection syringe
Chemo IV Infus Initial Up to 1 Hr - 96413,PX-33000078,CDM,96413,CPT,335.0,RC,,,inpatient,,,2154.0,1615.5,CIGNA ALTERNATE [1018],TUFTS CIGNA CARELINK NON PREFERRED [101803],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0010396806302721362,,chemo iv infus initial 1 hr 96413
"Lower Extremity And Humerus Procedures Except Hip, Foot And Femur With Cc",493,MS-DRG,,,,,,,inpatient,,,126482.35,94861.76,FALLON HEALTH [1008],FALLON BERKSHIRE HEALTH COLLABORATIVE ACO [100811],,12045.62,,"Base payment rate plus any adjustments related to capital costs, transfers and outliers.",19529.1,12045.62,64928.79,case rate,,MS-DRG,Unknown,Unknown,Unknown,0.061050160650154325,,lower extremity humerus procedures except hip foot femur cc
Mgh Neonatal Alloimmune Neutropenia (Nan) Panel - Mother,PX-31000721,CDM,81479,CPT,310.0,RC,,,inpatient,,,191.0,143.25,UNITED HEALTHCARE [1016],UNITED VA COMMUNITY CARE NETWORK [101619],,,,,,,,,,CPT,Unknown,Unknown,Unknown,9.218494294621495e-05,,mgh neonatal alloimmune neutropenia nan panel mother
Advance Care Planning First 30 Mins,PX-51000527,CDM,99497,CPT,510.0,RC,,,outpatient,,,547.0,410.25,INTERNATIONAL COMMERCIAL [140001],GMMI [14000118],,,65.0,,355.55,79.19,183.52,percent of total billed charges,,CPT,Unknown,Unknown,Unknown,0.00026401808848265304,,advance care planning first 30 mins
Control Nosebleed Posterior Initial,PX-76000750,CDM,30905,CPT,761.0,RC,,,outpatient,,,670.0,502.5,ELDER SERVICES [1037],NORTH SHORE ELDER SERVICES [103603],,110.38,,,110.38,106.48,1756.21,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0003233874056202426,,control nosebleed posterior initial
MESH GRAFT 13CMX25 3MM TISSUE SURGIMEND RECONSTRUCTION SOFT COLLAGEN MATRIX RECTANGLE,SUP-330215,CDM,C9360,HCPCS,636.0,RC,,,outpatient,,,14478.75,10859.06,INTERNATIONAL COMMERCIAL [140001],AETNA INTERNATIONAL [14000102],,,78.0,,11293.43,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.006988557000140292,,mesh graft 13cmx25 3mm tissue surgimend reconstruction soft collagen matrix rectangle
SCREW BONE 6.5X35MM CANCELLOUS LG FRAGMENT FULL THREAD HEX SOCKET SS,SUP-13292,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,182.6,136.95,MEDICARE [2001],MEDICARE RAILROAD [200105],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,8.813045299535517e-05,,screw bone 65x35mm cancellous lg fragment full thread hex socket ss
Multiple Sleep Latency Ltd,PX-74000005,CDM,95805,CPT,740.0,RC,,,inpatient,,,3181.0,2385.75,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS NEW ENGLAND ANTHEM CT [11000136],,,,,,1015.25,1069.88,,,CPT,Unknown,Unknown,Unknown,0.001535390294502254,,multiple sleep latency ltd
PORT IMPLANTABLE 75CMX10FR DUAL PORT DUAL LUMEN INFUSION STD PROFILE SINGLE CHAMBER CT COMPATIBLE MRI SAFE POWER INJECTABLE SLIDE LOCK CONNECTOR NON VALVED OPEN-ENDED TIP INT,SUP-34787,CDM,C1788,HCPCS,278.0,RC,,,outpatient,,,1148.0,861.0,CIGNA [1006],CIGNA MVP MEDICARE REPLACEMENT [100610],,,,,1148.0,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,0.0005541071909191679,,port implantable 75cmx10fr dual port dual lumen infusion std profile single chamber ct compatible mri safe power injectable slide lock connector non valved openended tip int
Drug Screen Quantitative Digoxin Total,PX-30002829,CDM,80162,CPT,301.0,RC,,,outpatient,,,197.0,147.75,VETERANS ADMINISTRATION [160006],VETERANS ADMINISTRATION SPECIAL BILLING [16000605],,13.28,,,13.28,13.01,99.62,fee schedule,,CPT,Unknown,Unknown,Unknown,9.508100719682908e-05,,drug screen quantitative digoxin total
MICROCATHETER LANTERN 135CM .025IN 45DEGREE ANGLE,SUP-498769,CDM,C1887,HCPCS,272.0,RC,,,inpatient,,,2275.0,1706.25,HARVARD PILGRIM ALTERNATE [120002],HARVARD PILGRIM UNITED NON PREFERRED A [12000204],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.001098084592659521,,microcatheter lantern 135cm 025in 45degree angle
BASKET RETRIEVAL 8.5FR 1.8CM 2.5CM 50CM BILIARY STONE SHEATH 6WIRE,SUP-49404,CDM,,,272.0,RC,,,outpatient,,,1350.97,1013.23,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE MEDICAID [11000125],,,,,1350.97,,,other,APC grouping requires price history; No contract line matched,CDM,Unknown,Unknown,Unknown,0.0006520778266682764,,basket retrieval 85fr 18cm 25cm 50cm biliary stone sheath 6wire
HC Catheter Balloon Tissue Dis Non-Vascular Tier1,PX-27000040,CDM,C1727,HCPCS,272.0,RC,,,inpatient,,,3079.65,2309.74,TUFTS HEALTH PLAN [170001],TUFTS STEWARD EPO [17000109],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0014864725514602138,,hc catheter balloon tissue dis nonvascular tier1
HUMERUS PLATE 3.5MM 5 HOLE DISTAL MEDIAL  LCP LOCKING SS LEFT,SUP-92483,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,2314.17,1735.63,HARVARD PILGRIM [120001],HARVARD PILGRIM STRIDE MEDICARE REPLACEMENT [12000109],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.001116992674366864,,humerus plate 35mm 5 hole distal medial lcp locking ss left
RISANKIZUMAB-RZAA 60 MG/ML INTRAVENOUS SOLUTION,RX-211546,CDM,J2327,HCPCS,636.0,RC,00074-5015-01,NDC,outpatient,10.0,ML,41223.94,30917.95,TUFTS HEALTH PLAN [170001],TUFTS STEWARD DPO POS [17000108],,9522.0,,,9522.0,9236.34,22566.0,fee schedule,,HCPCS,Unknown,Unknown,Unknown,0.01989785349702944,,risankizumabrzaa 60 mgml intravenous solution
KIT TUBE MIC-KEY 16FR 10ML 2.5CM FEEDING GASTRIC-JEJUNAL STOMA LOW PROFILE SILICONE BALLOON KT/1EA,SUP-152057,CDM,,,272.0,RC,,,outpatient,,,1175.72,881.79,MEDICAID NON MASSACHUSETTS [3002],CONNECTICUT MEDICAID [300201],,,,,1175.72,,,other,APC grouping requires price history; No contract line matched,CDM,Unknown,Unknown,Unknown,0.0005674870077570051,,kit tube mickey 16fr 10ml 25cm feeding gastricjejunal stoma low profile silicone balloon kt1ea
"Proctosigmoidoscopy,Remv Lesn",PX-75000435,CDM,45308,CPT,750.0,RC,,,outpatient,,,2632.0,1974.0,TUFTS HEALTH PLAN [170001],TUFTS MEDICARE PREFERRED HMO REPLACEMENT [17000103],,,,,2632.0,1705.28,4402.56,other,APC grouping requires price history; No contract line matched,CPT,Unknown,Unknown,Unknown,0.0012704004155710614,,proctosigmoidoscopyremv lesn
St Treatment Speech/Lang/Comm Ind,PX-44000005,CDM,92507,CPT,441.0,RC,,,outpatient,,,714.0,535.5,SENIOR WHOLE HEALTH [1014],SENIOR WHOLE HEALTH CHOICE CARE MEDICARE REPLACEMENT [101406],,,,"The highest priced service per service date from the OP Rehab fee schedules is priced at the full fee schedule rate, while all others for that service date are priced at the reduced fee schedule rate.",81.2,107.72,318.77,fee schedule,,CPT,Unknown,Unknown,Unknown,0.00034462521012474615,,st treatment speechlangcomm ind
Doppler Echocardio Fetal Cmpl,PX-48000178,CDM,76827,CPT,483.0,RC,,,outpatient,,,417.0,312.75,HARVARD PILGRIM [120001],HARVARD PILGRIM SELECT [12000117],,191.27,,,191.27,50.07,378.08,fee schedule,,CPT,Unknown,Unknown,Unknown,0.000201270029719347,,doppler echocardio fetal cmpl
PIN BUTTRESS 10X1.8MM SS LOCKING VARIABLE ANGLE T8 STARDRIVE RECESS,SUP-367803,CDM,C1713,HCPCS,278.0,RC,,,outpatient,,,328.16,246.12,INTERNATIONAL COMMERCIAL [140001],UNITED INTERNATIONAL OTHER [14000121],,,77.01,,252.72,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.00015838897171525384,,pin buttress 10x18mm ss locking variable angle t8 stardrive recess
COVER HIP SCREW ORTHO HOLE R3,SUP-156331,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,38.5,28.87,GENERIC MEDICARE REPLACEMENT [1010],CDPHP MEDICARE REPLACEMENT [101007],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.857342539393859e-05,,cover hip screw ortho hole r3
POTASSIUM CHLORIDE 20 MEQ/L IN D5-0.9 % SODIUM CHLORIDE INTRAVENOUS,RX-9795,CDM,J3480,HCPCS,636.0,RC,00338-0803-04,NDC,inpatient,1000.0,ML,12.75,9.56,HEALTH NEW ENGLAND [1034],HEALTH NEW ENGLAND MEDICARE HMO REPLACEMENT [103107],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,6.146091909636643e-06,,potassium chloride 20 meql d509 sodium chloride intravenous
Glucagon Tolerance,PX-30000462,CDM,82946,CPT,301.0,RC,,,outpatient,,,254.0,190.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM NH PPO MEDICARE REPLACEMENT [11000124],,17.77,,,17.77,17.41,113.15,fee schedule,,CPT,Unknown,Unknown,Unknown,0.00012259361757766324,,glucagon tolerance
FLUOXETINE 20 MG/5 ML (4 MG/ML) ORAL SOLUTION,RX-38488,CDM,25009999,HCPCS,259.0,RC,00121-4721-05,NDC,inpatient,5.0,ML,14.03,,MEDICARE ALTERNATE [2002],MEDICARE NHIC PRO [200201],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,,,fluoxetine 20 mg5 ml 4 mgml oral solution
PROCHLORPERAZINE 25 MG RECTAL SUPPOSITORY,RX-11138,CDM,25009999,HCPCS,259.0,RC,00713-0135-12,NDC,outpatient,1.0,UN,34.25,,CENTERS OF EXCELLENCE [1026],OPTUM HEALTH MEDICARE OR REPLACEMENT TRANSPLANT [102608],,,,,34.25,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,,,prochlorperazine 25 mg rectal suppository
"DILTIAZEM CD 300 MG CAPSULE,EXTENDED RELEASE 24 HR",RX-29276,CDM,25009999,HCPCS,250.0,RC,60687-0228-01,NDC,outpatient,1.0,UN,5.75,4.31,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS FEDERAL [11000102],,,62.71,,3.61,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,2.767350283920164e-06,,diltiazem cd 300 mg capsuleextended release 24 hr
LISOCABTAGENE MARALEUCEL 1.5 X 10EXP6 TO 70 X 10EXP6 CELL/ML IV SUSP,RX-206816,CDM,Q2054,HCPCS,891.0,RC,73153-0900-01,NDC,inpatient,1.0,UN,2071777.25,1553832.94,FALLON HEALTH [1008],FALLON MEDICARE REPLACEMENT [100803],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.0,,lisocabtagene maraleucel 15 x 10exp6 70 x 10exp6 cellml iv susp
Blood Type Antigen Donor Reagent Serum Each,PX-30000077,CDM,86902,CPT,302.0,RC,,,outpatient,,,186.0,139.5,TUFTS HEALTH PLAN [170001],TUFTS NAVIGATOR PPO [17000112],,74.14,,,74.14,6.35,1085.91,fee schedule,,CPT,Unknown,Unknown,Unknown,8.977155607070317e-05,,blood type antigen donor reagent serum
Ligate Tube Fallopian W/C-Section,PX-72000043,CDM,58611,CPT,720.0,RC,,,outpatient,,,517.0,387.75,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA MEDICARE HMO BLUE REPLACEMENT [11000107],,,,,517.0,4070.18,4191.77,other,APC grouping requires price history; No contract line matched,CPT,Unknown,Unknown,Unknown,0.0002495377672295824,,ligate tube fallopian wcsection
HIP IMPLANT 28X42MM COBALT SELF CENTERING BIPOLAR,SUP-41030,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,1221.5,916.12,AETNA [1001],AETNA PPO MEDICARE REPLACEMENT [100103],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0005895807601400235,,hip implant 28x42mm cobalt self centering bipolar
STENT URETERAL 6.0FR 30CM CONTOUR HYDROPLUS COATED VARIABLE INJECTION POSITIONER,SUP-475098,CDM,C2617,HCPCS,278.0,RC,,,inpatient,,,470.58,352.93,TUFTS HEALTH PLAN ALTERNATE [170002],TUFTS CARELINK NON PREFERRED [17000202],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00022712866562816378,,stent ureteral 60fr 30cm contour hydroplus coated variable injection positioner
NAIL FEMORAL 10X280MM 5DEG BEND RETROGRADE,SUP-665593,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,4043.08,3032.31,HEALTH NEW ENGLAND [1034],HEALTH NEW ENGLAND MEDICARE POS PPO REPLACEMENT [103105],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0019514968060304913,,nail femoral 10x280mm 5deg bend retrograde
PLATE BONE 2.4/2.7X62MM LONG LCP SS COMPRESSION LOCKING VARIABLE ANGLE L FUSION RIGHT,SUP-361739,CDM,C1713,HCPCS,278.0,RC,,,outpatient,,,2605.54,1954.15,WELLSENSE [1003],WELLSENSE BMC EPO [100305],,,,,2605.54,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,0.001257625554376686,,plate bone 2427x62mm long lcp ss compression locking variable angle l fusion right
BONE PLATE 14X0.4MM CRANIAL MATRIXNEURO TI SHAPE RIGID,SUP-306394,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,363.13,272.35,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM NH HMO MEDICARE REPLACEMENT [11000123],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00017526980844716686,,bone plate 14x04mm cranial matrixneuro ti shape rigid
"METHYLPHENIDATE LA 10 MG BIPHASIC 50-50 CAPSULE,EXTENDED RELEASE",RX-38387,CDM,25009999,HCPCS,259.0,RC,00078-0424-05,NDC,outpatient,1.0,UN,49.31,,HUMANA [1012],HUMANA PPO MEDICARE REPLACEMENT [101204],,,,,49.31,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,,,methylphenidate la 10 mg biphasic 5050 capsuleextended release
"VITAMIN A 3,000 MCG (10,000 UNIT) CAPSULE",RX-8639,CDM,25009999,HCPCS,250.0,RC,00904-2085-60,NDC,inpatient,1.0,UN,0.12,0.09,HARVARD PILGRIM [120001],HARVARD PILGRIM SELECT [12000117],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,5.1485586677584445e-08,,vitamin 3000 mcg 10000 unit capsule
OXACILLIN SYR IN D5W 40 MG/ML NEO,RX-700535,CDM,J2700,HCPCS,636.0,RC,00000-0008-85,NDC,inpatient,1.0,ML,8.84,6.63,MASSHEALTH [3001],MASSHEALTH QMB [300119],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,4.260432297570112e-06,,oxacillin syr d5w 40 mgml neo
Interstitial Lung Disease With McC,196,MS-DRG,,,,,,,inpatient,,,87190.8,65393.1,GENERIC COMMERCIAL [1009],WELLSENSE NH MCO [100906],,6015.38,,"Base payment rate plus any adjustments related to capital costs, transfers and outliers.",11803.83,6015.38,51692.88,case rate,,MS-DRG,Unknown,Unknown,Unknown,0.04208502004137601,,interstitial lung disease mcc
AUTOPLEX SYSTEM CEMENT DELIVERY W/O NEEDLE AND CEMENT BX/2EA,SUP-559657,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,2702.18,2026.63,TUFTS HEALTH PLAN [170001],TUFTS FREEDOM PPO [17000118],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0013042714959065774,,autoplex system cement delivery wo needle cement bx2ea
HIP STEM 12X125MM FEMORAL VERSYS ADVOCATE ZIMALOY COBALT CEMENTED STD,SUP-543636,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,4410.0,3307.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE HMO [11000109],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0021286007885030476,,hip stem 12x125mm femoral versys advocate zimaloy cobalt cemented std
M/Phmtrc Alys Ish Quant/Semiq Mnl Each Multiprb,PX-31000497,CDM,88377,CPT,310.0,RC,,,outpatient,,,1072.0,804.0,COVID19 HRSA UNINSURED TESTING AND TREATMENT FUND [160008],COVID19 HRSA UNINSURED TESTING AND TREATMENT FUND [16000801],,392.04,,,392.04,228.56,573.13,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0005174237104113889,,mphmtrc alys ish quantsemiq mnl multiprb
Canalith Repositioning Procedure,PX-76002066,CDM,95992,CPT,761.0,RC,,,outpatient,,,278.0,208.5,SENIOR WHOLE HEALTH [1014],SENIOR WHOLE HEALTH CHOICE CARE MEDICARE REPLACEMENT [101406],,37.44,,,37.44,36.69,192.36,fee schedule,,CPT,Unknown,Unknown,Unknown,0.00013417787458011975,,canalith repositioning procedure
Biopsy Pancreas Needle Perc,PX-75000262,CDM,48102,CPT,361.0,RC,,,outpatient,,,2611.0,1958.25,HARVARD PILGRIM [120001],HPHC ACCESS AMERICA [12000125],,1237.95,,,2909.18,242.32,1756.21,other,Multiple Surgery,CPT,Unknown,Unknown,Unknown,0.0012602641906939121,,biopsy pancreas needle perc
CONNECTOR DIA 3MMX15 REPAIR NERVE AXOGUARD COAPTATION AID PERIPHERAL,SUP-470457,CDM,C1763,HCPCS,278.0,RC,,,inpatient,,,5037.0,3777.75,COMMONWEALTH CARE ALLIANCE [1007],COMMONWEALTH CARE ALLIANCE SCO MEDICARE REPLACEMENT [100701],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0024312395026922233,,connector dia 3mmx15 repair nerve axoguard coaptation aid peripheral
Punch Biopsy Skin Single Lesion,PX-76002567,CDM,11104,CPT,761.0,RC,,,outpatient,,,580.0,435.0,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA CONNECTORCARE [11000141],,201.78,,,285.31,49.28,532.03,other,ASC ,CPT,Unknown,Unknown,Unknown,0.0002799464418610307,,punch biopsy skin single lesion
Pf Dest Lesn Mal Sclp/Hnd 0.6-1.0cm,PX-98300126,CDM,17271,CPT,983.0,RC,,,outpatient,,,463.0,347.25,WELLPOINT [1015],WELLPOINT GIC COMMUNITY CHOICE [101504],,,74.45,,344.7,114.06,176.45,percent of total billed charges,,CPT,Unknown,Unknown,Unknown,0.00022347318897405528,,pf dest lesn mal sclphnd 0610cm
SCREW BONE 4.5X50MM CORTICAL OMEGA 3 SS FULL THREAD,SUP-102354,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,194.85,146.14,TRICARE [160005],TRICARE EAST REGION PRIME [16000501],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,9.404485976494268e-05,,screw bone 45x50mm cortical omega 3 ss full thread
STERILE TALC 5 GRAM INTRAPLEURAL SUSPENSION,RX-37812,CDM,25009999,HCPCS,250.0,RC,63256-0200-05,NDC,inpatient,100.0,ML,437.75,328.31,HARVARD PILGRIM [120001],HARVARD PILGRIM STUDENT RESOURCES [12000106],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00021128397632813717,,sterile talc 5 gram intrapleural suspension
NM Intestine Mucosa/Meckels,PX-34000037,CDM,78290,CPT,341.0,RC,,,outpatient,,,1797.0,1347.75,MARTIN'S POINT [160007],MARTIN'S POINT GENERATIONS ADV HMO MEDICARE REPLACEMENT [16000702],,316.1,,,316.1,316.1,1342.96,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0008673648073605957,,nm intestine mucosameckels
CATHETER NAVIEN 5FR .058IN 125CM .038IN 8CM INTRACRANIAL SUPPORT STRAIGHT SOFT TIP PROXIMAL LG LUMEN MULTIPLE FLEXIBLE ZONE REFLEX NITINOL,SUP-403672,CDM,C1887,HCPCS,272.0,RC,,,inpatient,,,4287.5,3215.62,HEALTH NEW ENGLAND [1034],HEALTH NEW ENGLAND CONNECTOR CARE [103102],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0020694695922038415,,catheter navien 5fr 058in 125cm 038in 8cm intracranial support straight soft tip proximal lg lumen multiple flexible zone reflex nitinol
KIT SHEATH 8.5FR 22MM GUIDING SUREFLEX STEERABLE MED CURVE,SUP-672688,CDM,C1887,HCPCS,272.0,RC,,,inpatient,,,3076.5,2307.37,CIGNA [1006],CIGNA PPO MEDICARE REPLACEMENT [100616],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0014849472909548905,,kit sheath 85fr 22mm guiding sureflex steerable med curve
SPINE CAGE 8X14X30MM LUMBAR TRANSFORAMINAL TITANIUM OBLIQUE FUSION 4 DEG,SUP-525383,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,5500.0,4125.0,CENTERS OF EXCELLENCE [1026],CIGNA TRANSPLANT [102602],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0026547191273646135,,spine cage 8x14x30mm lumbar transforaminal titanium oblique fusion 4 deg
Dialysis Other/Than Hemodialysis 1 Phys/Qhp Eval,PX-84000001,CDM,90945,CPT,845.0,RC,,,inpatient,,,4325.0,3243.75,HARVARD PILGRIM [120001],HPHC NH LOCAL CHOICE [12000121],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.002087573211619347,,dialysis otherthan hemodialysis 1 physqhp eval
FLECAINIDE ORAL SUSPENSION 20 MG/ML CMPD_BWH_MGH,RX-700979,CDM,25009999,HCPCS,259.0,RC,00000-0055-11,NDC,outpatient,1.25,ML,1.4,,WELLSENSE [1003],WELLSENSE SCO MEDICARE REPLACEMENT [100311],,,,,1.4,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,,,flecainide oral suspension 20 mgml cmpdbwhmgh
